video_id,views,likes,comments,keyword,engagement_rate
ncge61Wr8JM,70911533,1705841,7738,yt,0.024165025455027182
OTMrnPrehh0,23348491,44796,1339,yt,0.001975930692908591
BHLTSQhvESQ,217712,7082,234,yt,0.0336040273388697
edyh71THv_8,221955943,4184650,,yt,0.018853516348512463
0Onuvef2Ul8,26738559,1026709,3468,yt,0.03852776808204212
L5raH5Hi9bM,188993,7091,210,yt,0.0386310604096448
sGHK6RB8Szw,54742145,832938,5138,yt,0.015309520662736179
uWpIxWzGV8w,99594,2503,145,yt,0.02658794706508424
yDp3cB5fHXQ,38733134,655786,114434,yt,0.01988530027030604
D7vR5yxPQJU,9840647,610062,2893,yt,0.06228807922893688
1HbNDK7J__A,593865,21950,860,yt,0.03840940281040304
6Q50qsAHuEE,63266145,1634571,13950,yt,0.02605692191297573
rTo3SmtF04Q,173319,7498,238,yt,0.04463446015728224
YlyJOTHw-Es,1201442,17963,1623,yt,0.016302077004133365
dzntyCTgJMQ,255231117,253234,,yt,0.000992175260511045
7yFTNuHaL_Q,3395880,153429,4622,yt,0.04654198617147838
7pDym6u_uNQ,292246767,3503300,8962,yt,0.012018138082601954
d_bE5jY3fOE,1184940,,414,yt,0.0003493847789761507
HtTyP9BTDiY,58821014,1256882,4525,yt,0.02144483602407806
lJJjZ-lJEX8,2408698,25366,359,yt,0.01068004374147361
iGEKXIN5pj4,451405915,4916944,,yt,0.01089251123348705
T8jU3J_xyw8,1201517426,8478538,,yt,0.00705652520432109
AdilfuzaeTI,105313,1969,100,yt,0.019646197525471688
jgE78NhMWQo,41755979,2101520,4161,yt,0.05042825124516898
MOEHdwVwqog,11607610,152057,6412,yt,0.013652164399045109
XMxwhXkhLSg,23668954,1640985,10092,yt,0.06975707502748114
Tw_RRmPwlho,420136,28605,2577,yt,0.07421882438067673
uNVBBXa6CB8,122293266,416760,19573,yt,0.0035679233556490347
yCE2oXmgDPU,48912,1745,94,yt,0.037598135426889105
8-eCvn1gWIg,151516086,5068713,18579,yt,0.033575920117155086
2_pMBCeNV6g,403989121,5660652,6765,yt,0.014028637667200944
J9BAaSjXHug,319265515,10315176,101062,yt,0.03262562823297718
6WzPQ2J7tOo,30457108,,7646,yt,0.0002510415631057289
mTCwx0_PxjI,7638363,36148,,yt,0.004732427615707711
PdzbDY_XzQA,1101057,57112,3455,yt,0.05500805135428956
jvJqtCJwHmQ,136180,2456,64,yt,0.018504919958877954
ACDKmXut54o,166801755,2191062,3325,yt,0.013155658943756317
0bhFagWP_W0,46033098,227332,,yt,0.004938446680256019
SIzXVvb7xy8,7898140,165985,2287,yt,0.021305269341895687
LY1oAC1nUaw,470354939,4314246,,yt,0.009172319970047131
xMs4e9esYkg,3526875,34587,3928,yt,0.010920432394116605
Dd3K8hajThs,185643646,1556763,,yt,0.008385759672054707
tKAOT_u92V8,28037,905,62,yt,0.034490138031886435
G67QlGPFjGY,683796551,9138846,,yt,0.013364861210012157
VPXS2o6wtG0,529307788,4769337,,yt,0.009010517336276185
t8DowGw8oPg,41067741,340055,2356,yt,0.008337712074301822
_-TCX6Wpnqk,117979,3407,181,yt,0.030412192000271236
cnbNTp9kJ6c,751695861,8672931,,yt,0.011537819283003875
dTnFYJkx6-E,28453983,1303664,9243,yt,0.04614141366430141
kL_-rp6behs,394220353,3673752,,yt,0.009319031785251331
PGL78NL0Vd4,4204554,178892,2623,yt,0.043171047392898274
tvLhD5zKh2c,118833672,594354,,yt,0.005001562183486175
4V13dRIXd2A,811605,17524,982,yt,0.022801732369810437
TODdgN_TfZw,50446740,574060,,yt,0.01137952620922581
fzpB6boLliI,281184,10197,436,yt,0.03781509616478889
yiJyOeffgBg,1848858,19386,178,yt,0.010581667169679877
IXZGsn2N0ZM,31248755,746632,3758,yt,0.02401343669531794
vX66Vx3qRp8,276769215,2437845,,yt,0.008808223125538004
60itCiq6MS4,14537,690,53,yt,0.0511109582444796
B4yGC2myS98,4271031,27218,,yt,0.006372700174735327
sZ7X35Lnvso,2300691,5277,177,yt,0.0023705921394920047
hzEC9Fj14xI,15863388,483738,1874,yt,0.03061212396746521
KBNQL81XicM,402666793,8321963,4339,yt,0.020677895830362152
thA_T13Wnqo,4987539,36816,4961,yt,0.008376275353435833
5uS4sc_N310,4038460,173214,843,yt,0.04309984499041714
C3lLwQjrLXg,968019396,12939636,,yt,0.013367124722364551
T49M1886R-g,654698926,5876750,,yt,0.008976263388585428
RvHKQHOT54Y,1455863367,11682723,,yt,0.008024601253669706
pTCzz3PCr8Y,708095918,8215695,,yt,0.011602517104187006
zeEKFJ56nCg,1151120279,15330895,,yt,0.01331823900567388
Z8k_bQCL8Po,312427306,3807703,,yt,0.012187484662432163
_qNl66UnafQ,61176,1359,,yt,0.022214593958415064
8OdBDiolbqQ,882908346,15112784,,yt,0.017117047390556663
jpK7IdmSAKc,85083,1957,54,yt,0.023635743920642195
bg4I_NtOshE,1111187897,18110298,54471,yt,0.016347162391744444
GiD1CHqp7E8,895237405,7919974,,yt,0.00884678628905145
9Y3txB7uTVc,249363267,2247796,5057,yt,0.009034422058642662
J72j6UwQl3o,449714200,5294229,,yt,0.011772430134516544
4pKuC6JuRLg,21900336,78516,,yt,0.0035851504744036805
Js41UPsJUTM,189692,9882,110,yt,0.052674862408535944
m9qta3NoDn4,235126505,2689344,,yt,0.011437859802322158
54OiGWpZNDI,385144540,4832129,,yt,0.012546274185790093
X8sMkw1eieg,24892,725,,yt,0.029125823557769565
8kggT2ej-lo,849136794,28150874,39118,yt,0.03319841066738653
q9kdFvBvJN4,832774,13677,451,yt,0.01696498689920675
_U4ncArc6VU,1069431833,8465461,,yt,0.007915849088064315
2Q38Z2R0Exo,130829,5093,265,yt,0.040954222687630416
ISrbyVcKPNY,340025204,2629127,,yt,0.007732153290613128
sKVQN8SHxBE,164354,3636,269,yt,0.023759689450819573
hCbrZ1AKnHA,65102,1268,99,yt,0.02099781880740991
K7Hg7uT_2zY,678295380,5625863,,yt,0.008294119591379202
SPi0GkYauVU,177629,8290,662,yt,0.050397176136779465
AKnLqL46ot8,6940,446,,yt,0.06426512968299712
sw6UGkFBIEs,794212,5936,1273,yt,0.009076921527249652
_BXP6oY0_5k,2386589,79230,3952,yt,0.034853927509093524
BZkDft_-blY,866464152,8928619,,yt,0.010304660590274484
Ceqabjjgh8o,7941242,451231,1106,yt,0.056960485526067584
